Timestamp,Ch0_Alpha,Ch0_Beta,Ch0_Gamma,Ch1_Alpha,Ch1_Beta,Ch1_Gamma,Ch2_Alpha,Ch2_Beta,Ch2_Gamma,Ch3_Alpha,Ch3_Beta,Ch3_Gamma
1733461980.9330194,10004.21875,39999.0625,29996.91796875,9869.4765625,40084.96875,30016.11328125,9990.3671875,40008.4375,29999.70703125,9992.265625,39997.765625,29993.53125
1733461980.9655728,10007.1953125,39996.03125,29993.40234375,10119.8828125,39938.09375,29995.51171875,10003.2109375,40000.0,29992.58203125,10002.7421875,40001.765625,29998.34765625
1733461980.9875896,10005.8359375,40006.828125,30004.828125,10029.8828125,39979.1875,29960.53125,,,,,,
1733461981.0000966,,,,,,,10007.1015625,39991.28125,29995.0078125,10005.859375,39991.125,30000.2578125
1733461981.0286078,10001.8515625,39974.53125,29993.6953125,9857.453125,40009.890625,29959.18359375,9988.9140625,40007.484375,30003.59765625,9986.0546875,40003.28125,29992.76953125
1733461981.0499873,9934.5859375,40042.046875,30001.67578125,9883.7734375,40072.484375,29985.76171875,9985.3046875,40005.046875,29991.9375,9984.0625,40004.296875,29998.93359375
1733461981.0817134,10059.203125,39952.21875,30004.171875,10148.8515625,39925.015625,30057.84375,10012.1875,39989.390625,30006.328125,10015.75,39984.609375,30003.0234375
1733461981.1101525,9997.7265625,40030.328125,29997.33984375,10064.59375,40074.84375,30037.37109375,9999.15625,40002.453125,30002.05078125,,,
1733461981.1214123,,,,,,,,,,10006.2109375,40014.453125,30003.0703125
1733461981.1450732,9994.7265625,39985.703125,29999.42578125,10227.1796875,39822.203125,30036.796875,10018.328125,39982.609375,30007.078125,10011.6953125,39988.0625,30003.80859375
1733461981.1777515,9986.2890625,40002.8125,30005.73046875,9683.359375,40226.015625,29935.8515625,9975.8828125,40023.5625,29985.57421875,9974.078125,40011.03125,29993.8125
1733461981.2000294,10013.9921875,39993.6875,29986.51171875,9838.421875,,,,,,,,
1733461981.2116735,,,,,39894.828125,29959.37109375,9990.953125,39991.421875,29997.8671875,9992.2890625,39987.46875,29999.2265625
1733461981.2343087,9980.78125,40005.5,30008.44921875,10107.4140625,39987.234375,29980.60546875,10005.5078125,39999.8125,30000.52734375,10007.3828125,40005.953125,29990.98828125
1733461981.2690163,10002.015625,40005.921875,29989.4296875,10194.953125,39979.53125,30034.8046875,10008.296875,39995.03125,30002.75390625,10008.9765625,39999.046875,30007.32421875
1733461981.3031597,10000.5859375,39998.765625,30001.58203125,9953.359375,40092.03125,30042.5390625,9992.3828125,40004.203125,29995.5703125,9993.5078125,40001.71875,30000.65625
1733461981.3256593,10020.0390625,39984.0625,29999.1328125,10109.59375,39872.375,30039.99609375,10010.21875,39987.4375,30005.21484375,10004.359375,39991.71875,30004.6640625
1733461981.3640609,9976.375,40018.609375,29997.48046875,9805.5859375,40154.6875,29951.25,9975.8828125,40014.703125,30001.7578125,9975.8125,40013.171875,29988.1640625
1733461981.386283,9963.4375,39987.640625,30002.00390625,9833.1953125,39853.015625,29959.67578125,9986.828125,39989.125,29995.3359375,9996.578125,39978.546875,29999.203125
1733461981.4223216,10020.109375,39993.5625,,,,,,,,,,
1733461981.4348235,,,30003.36328125,9920.125,40081.109375,29986.25390625,9998.453125,39999.5625,29994.4453125,9995.6171875,40012.90625,29994.94921875
1733461981.4478273,10044.53125,39991.90625,30002.70703125,10369.9140625,39919.4375,29995.4765625,10028.828125,39991.3125,30002.91796875,10024.8203125,39990.703125,30011.2734375
1733461981.4825878,9984.4375,40014.265625,30000.84375,10119.296875,39979.46875,30080.07421875,10021.6796875,40003.46875,30012.41015625,10015.375,39995.609375,30000.9375
1733461981.5099332,9965.3359375,40013.359375,29987.9296875,9643.6796875,40266.125,29982.1640625,9957.109375,40025.265625,29985.24609375,9965.265625,40028.109375,29992.79296875
1733461981.5419724,10022.4765625,39971.46875,30005.3671875,10310.78125,39609.1875,30029.05078125,10018.140625,39965.984375,30007.453125,10017.109375,39967.828125,30000.0703125
1733461981.5738611,9996.25,40010.4375,29989.875,9879.71875,40305.84375,29954.02734375,9998.828125,40014.0,29994.22265625,9997.234375,40008.65625,29995.8515625
1733461981.6067147,9982.3515625,39997.625,30009.65625,9866.40625,39930.265625,29945.02734375,9981.90625,40000.234375,29994.24609375,9986.6640625,39999.40625,29998.171875
1733461981.6314714,10014.3671875,39996.390625,30000.36328125,9972.8125,39905.359375,30005.54296875,,,,,,
1733461981.64604,,,,,,,9999.9765625,39985.53125,30001.078125,9999.109375,39996.59375,29998.734375
